position,gc_content
0,50.7
1000,53.2
2000,51.9
3000,56.10000000000001
4000,53.2
5000,47.0
6000,51.4
7000,54.0
8000,50.6
9000,52.6
10000,52.5
11000,44.7
12000,49.7
13000,52.5
14000,53.1
15000,55.00000000000001
16000,49.9
17000,43.9
18000,50.3
19000,47.8
20000,50.4
21000,51.5
22000,53.5
23000,56.699999999999996
24000,55.300000000000004
25000,54.50000000000001
26000,55.1
27000,54.1
28000,53.400000000000006
29000,41.699999999999996
30000,55.00000000000001
31000,54.800000000000004
32000,57.599999999999994
33000,57.49999999999999
34000,45.300000000000004
35000,56.8
36000,47.0
37000,52.2
38000,52.400000000000006
39000,53.7
40000,53.800000000000004
41000,49.3
42000,44.1
43000,56.599999999999994
44000,55.400000000000006
45000,54.900000000000006
46000,52.400000000000006
47000,53.0
48000,57.699999999999996
49000,50.5
50000,55.2
51000,52.900000000000006
52000,54.2
53000,54.6
54000,52.6
55000,50.6
56000,52.300000000000004
57000,51.5
58000,43.9
59000,47.8
60000,55.00000000000001
61000,54.400000000000006
62000,57.199999999999996
63000,52.0
64000,54.400000000000006
65000,55.2
66000,56.2
67000,56.10000000000001
68000,57.199999999999996
69000,58.099999999999994
70000,49.4
71000,52.800000000000004
72000,56.10000000000001
73000,58.699999999999996
74000,57.4
75000,51.9
76000,54.6
77000,50.6
78000,49.1
79000,55.400000000000006
80000,54.50000000000001
81000,55.00000000000001
82000,52.800000000000004
83000,49.0
84000,38.0
85000,47.3
86000,52.300000000000004
87000,49.6
88000,54.1
89000,47.0
90000,55.00000000000001
91000,52.6
92000,54.0
93000,56.00000000000001
94000,56.8
95000,54.900000000000006
96000,53.6
97000,53.900000000000006
98000,55.300000000000004
99000,53.1
100000,53.900000000000006
101000,56.00000000000001
102000,51.800000000000004
103000,53.6
104000,52.800000000000004
105000,52.7
106000,52.400000000000006
107000,48.8
108000,52.0
109000,52.800000000000004
110000,51.6
111000,49.8
112000,52.2
113000,46.5
114000,54.0
115000,53.300000000000004
116000,53.7
117000,51.5
118000,53.5
119000,51.9
120000,52.800000000000004
121000,44.5
122000,52.0
123000,53.1
124000,53.400000000000006
125000,52.1
126000,55.300000000000004
127000,51.9
128000,52.2
129000,54.800000000000004
130000,52.300000000000004
131000,51.6
132000,56.2
133000,56.49999999999999
134000,51.300000000000004
135000,48.199999999999996
136000,48.9
137000,55.7
138000,51.2
139000,56.00000000000001
140000,54.6
141000,49.7
142000,49.3
143000,49.3
144000,50.9
145000,48.9
146000,50.8
147000,48.9
148000,52.800000000000004
149000,50.2
150000,39.0
151000,42.8
152000,41.099999999999994
153000,43.4
154000,44.7
155000,44.2
156000,39.800000000000004
157000,46.1
158000,55.400000000000006
159000,53.2
160000,50.3
161000,52.900000000000006
162000,56.10000000000001
163000,57.699999999999996
164000,53.0
165000,54.900000000000006
166000,56.599999999999994
167000,50.7
168000,50.7
169000,50.8
170000,57.4
171000,56.3
172000,61.5
173000,56.39999999999999
174000,53.7
175000,50.8
176000,52.2
177000,51.7
178000,55.1
179000,50.6
180000,44.3
181000,54.900000000000006
182000,52.0
183000,50.8
184000,48.6
185000,52.2
186000,53.900000000000006
187000,55.50000000000001
188000,51.4
189000,48.4
190000,50.8
191000,48.8
192000,51.7
193000,51.800000000000004
194000,51.0
195000,50.7
196000,50.5
197000,50.6
198000,50.6
199000,50.9
200000,49.6
201000,53.0
202000,50.2
203000,53.0
204000,56.599999999999994
205000,56.3
206000,56.00000000000001
207000,53.300000000000004
208000,51.4
209000,51.1
210000,52.6
211000,50.3
212000,56.599999999999994
213000,54.300000000000004
214000,51.7
215000,52.7
216000,49.2
217000,52.400000000000006
218000,54.1
219000,54.900000000000006
220000,47.599999999999994
221000,52.1
222000,50.2
223000,48.4
224000,55.2
225000,48.8
226000,53.6
227000,52.5
228000,54.800000000000004
229000,45.4
230000,47.599999999999994
231000,51.6
232000,49.1
233000,51.7
234000,42.5
235000,49.8
236000,49.8
237000,39.0
238000,34.0
239000,51.6
240000,48.199999999999996
241000,56.3
242000,58.8
243000,50.8
244000,53.1
245000,48.6
246000,42.3
247000,49.6
248000,55.00000000000001
249000,60.5
250000,51.7
251000,53.1
252000,43.1
253000,48.1
254000,51.2
255000,49.9
256000,53.1
257000,50.3
258000,53.6
259000,45.300000000000004
260000,49.3
261000,57.199999999999996
262000,50.0
263000,49.5
264000,56.2
265000,55.1
266000,52.800000000000004
267000,56.599999999999994
268000,55.2
269000,45.6
270000,46.800000000000004
271000,47.199999999999996
272000,55.900000000000006
273000,54.1
274000,54.1
275000,52.900000000000006
276000,55.900000000000006
277000,59.699999999999996
278000,55.300000000000004
279000,53.7
280000,49.0
281000,63.1
282000,58.9
283000,67.10000000000001
284000,66.5
285000,55.900000000000006
286000,61.7
287000,65.9
288000,64.5
289000,60.0
290000,48.3
291000,51.4
292000,44.0
293000,37.9
294000,35.4
295000,42.1
296000,45.1
297000,47.599999999999994
298000,59.0
299000,61.0
300000,59.0
301000,60.0
302000,48.4
303000,45.0
304000,50.4
305000,51.300000000000004
306000,52.900000000000006
307000,54.2
308000,56.49999999999999
309000,54.800000000000004
310000,49.1
311000,36.1
312000,43.3
313000,38.1
314000,43.4
315000,54.1
316000,47.099999999999994
317000,42.199999999999996
318000,40.699999999999996
319000,45.800000000000004
320000,46.5
321000,42.699999999999996
322000,50.2
323000,51.4
324000,45.6
325000,45.4
326000,57.49999999999999
327000,56.89999999999999
328000,59.3
329000,52.300000000000004
330000,55.50000000000001
331000,44.1
332000,42.1
333000,48.6
334000,48.5
335000,45.5
336000,46.400000000000006
337000,57.49999999999999
338000,55.800000000000004
339000,59.9
340000,56.49999999999999
341000,56.10000000000001
342000,50.3
343000,52.400000000000006
344000,37.9
345000,45.4
346000,45.7
347000,56.8
348000,48.3
349000,56.99999999999999
350000,55.900000000000006
351000,58.099999999999994
352000,54.0
353000,59.099999999999994
354000,55.300000000000004
355000,53.900000000000006
356000,53.7
357000,54.300000000000004
358000,53.7
359000,54.2
360000,59.5
361000,46.6
362000,47.699999999999996
363000,52.300000000000004
364000,57.4
365000,54.400000000000006
366000,55.900000000000006
367000,55.60000000000001
368000,53.2
369000,56.10000000000001
370000,59.099999999999994
371000,54.2
372000,54.300000000000004
373000,54.800000000000004
374000,57.4
375000,58.199999999999996
376000,53.900000000000006
377000,50.3
378000,52.400000000000006
379000,51.5
380000,50.7
381000,49.7
382000,50.8
383000,50.0
384000,38.7
385000,50.6
386000,55.60000000000001
387000,57.8
388000,53.800000000000004
389000,49.0
390000,37.8
391000,44.4
392000,54.800000000000004
393000,50.1
394000,42.8
395000,54.6
396000,49.0
397000,51.6
398000,53.2
399000,47.4
400000,50.8
401000,40.300000000000004
402000,54.1
403000,51.4
404000,52.300000000000004
405000,53.5
406000,50.3
407000,45.1
408000,46.9
409000,51.6
410000,53.5
411000,52.1
412000,52.1
413000,51.800000000000004
414000,55.400000000000006
415000,54.0
416000,53.2
417000,52.2
418000,54.2
419000,47.099999999999994
420000,54.6
421000,53.300000000000004
422000,53.0
423000,54.6
424000,53.400000000000006
425000,55.00000000000001
426000,51.6
427000,49.3
428000,54.2
429000,51.4
430000,48.3
431000,49.9
432000,45.1
433000,54.7
434000,53.7
435000,52.1
436000,54.7
437000,53.5
438000,53.7
439000,52.800000000000004
440000,53.900000000000006
441000,51.4
442000,53.7
443000,54.300000000000004
444000,50.6
445000,50.5
446000,51.9
447000,52.2
448000,51.800000000000004
449000,54.900000000000006
450000,52.900000000000006
451000,44.4
452000,51.1
453000,54.900000000000006
454000,46.2
455000,50.3
456000,49.3
457000,51.800000000000004
458000,50.2
459000,51.800000000000004
460000,53.800000000000004
461000,48.6
462000,52.2
463000,51.5
464000,49.6
465000,51.7
466000,51.4
467000,52.2
468000,49.5
469000,54.0
470000,55.400000000000006
471000,55.1
472000,52.400000000000006
473000,56.39999999999999
474000,54.300000000000004
475000,51.1
476000,53.900000000000006
477000,48.199999999999996
478000,47.599999999999994
479000,47.199999999999996
480000,40.1
481000,49.5
482000,52.300000000000004
483000,54.800000000000004
484000,53.7
485000,49.8
486000,45.7
487000,50.5
488000,55.00000000000001
489000,52.400000000000006
490000,53.5
491000,52.5
